symbol,start_open_time_utc,end_open_time_utc,end_close_time_utc,k,low_min,high_max,move_pct_A,open_first,close_last,move_pct_B
ROSEUSDT,2026-04-11T06:00:00Z,2026-04-11T15:00:00Z,2026-04-11T15:59:59Z,10,0.01056,0.01145,8.428,0.01068,0.01122,5.0562
ROSEUSDT,2026-04-11T07:00:00Z,2026-04-11T16:00:00Z,2026-04-11T16:59:59Z,10,0.0106,0.01145,8.0189,0.0106,0.0112,5.6604
ROSEUSDT,2026-04-11T08:00:00Z,2026-04-11T17:00:00Z,2026-04-11T17:59:59Z,10,0.01076,0.01173,9.0149,0.01076,0.0117,8.7361
ROSEUSDT,2026-04-11T18:00:00Z,2026-04-12T01:00:00Z,2026-04-12T01:59:59Z,8,0.01079,0.01173,8.7118,0.01171,0.01082,-7.6003
ROSEUSDT,2026-04-11T18:00:00Z,2026-04-12T02:00:00Z,2026-04-12T02:59:59Z,9,0.01073,0.01173,9.3197,0.01171,0.01082,-7.6003
ROSEUSDT,2026-04-11T18:00:00Z,2026-04-12T03:00:00Z,2026-04-12T03:59:59Z,10,0.01073,0.01173,9.3197,0.01171,0.01075,-8.1981
ROSEUSDT,2026-04-16T00:00:00Z,2026-04-16T06:00:00Z,2026-04-16T06:59:59Z,7,0.01058,0.01148,8.5066,0.01068,0.01136,6.367
ROSEUSDT,2026-04-16T00:00:00Z,2026-04-16T07:00:00Z,2026-04-16T07:59:59Z,8,0.01058,0.01152,8.8847,0.01068,0.01145,7.2097
ROSEUSDT,2026-04-16T00:00:00Z,2026-04-16T08:00:00Z,2026-04-16T08:59:59Z,9,0.01058,0.01155,9.1682,0.01068,0.01139,6.6479
ROSEUSDT,2026-04-16T00:00:00Z,2026-04-16T09:00:00Z,2026-04-16T09:59:59Z,10,0.01058,0.01155,9.1682,0.01068,0.01139,6.6479
